Year,Visitor,Visitor_PTS,Home,Home_PTS,Winner
2013,Denver Nuggets,110,Dallas Mavericks,96.0,A
2013,Milwaukee Bucks,94,Detroit Pistons,113.0,H
2013,Minnesota Timberwolves,84,Indiana Pacers,98.0,H
2013,Houston Rockets,93,Memphis Grizzlies,86.0,A
2013,Phoenix Suns,92,Miami Heat,107.0,H
2013,New York Knicks,91,Portland Trail Blazers,102.0,H
2013,New Orleans Pelicans,93,San Antonio Spurs,112.0,H
2013,Chicago Bulls,83,Utah Jazz,89.0,H
2013,Orlando Magic,109,Atlanta Hawks,92.0,A
2013,Golden State Warriors,102,New Orleans Pelicans,101.0,A
2013,Brooklyn Nets,102,Toronto Raptors,100.0,A
2013,Los Angeles Lakers,111,Washington Wizards,116.0,H
2013,Memphis Grizzlies,100,Boston Celtics,93.0,A
2013,Los Angeles Lakers,99,Brooklyn Nets,94.0,A
2013,Indiana Pacers,99,Charlotte Hornets,74.0,A
2013,Miami Heat,95,Cleveland Cavaliers,84.0,A
2013,Golden State Warriors,99,Dallas Mavericks,103.0,H
2013,Chicago Bulls,99,Detroit Pistons,79.0,A
2013,Atlanta Hawks,84,Houston Rockets,113.0,H
2013,New York Knicks,80,Los Angeles Clippers,93.0,H
2013,Washington Wizards,100,Milwaukee Bucks,92.0,A
2013,Denver Nuggets,117,Minnesota Timberwolves,110.0,A
2013,San Antonio Spurs,88,Oklahoma City Thunder,94.0,H
2013,Philadelphia 76ers,94,Orlando Magic,105.0,H
2013,Portland Trail Blazers,106,Phoenix Suns,120.0,H
2013,Dallas Mavericks,87,Atlanta Hawks,88.0,H
2013,Cleveland Cavaliers,86,Boston Celtics,103.0,H
2013,Milwaukee Bucks,76,Charlotte Hornets,92.0,H
2013,New York Knicks,95,Denver Nuggets,97.0,H
2013,Los Angeles Lakers,106,Detroit Pistons,102.0,A
2013,Brooklyn Nets,95,Houston Rockets,114.0,H
2013,Washington Wizards,73,Indiana Pacers,93.0,H
2013,Golden State Warriors,112,Oklahoma City Thunder,113.0,H
2013,San Antonio Spurs,109,Orlando Magic,91.0,A
2013,New Orleans Pelicans,121,Philadelphia 76ers,105.0,A
2013,Los Angeles Clippers,104,Sacramento Kings,98.0,A
2013,Miami Heat,90,Toronto Raptors,83.0,A
2013,Phoenix Suns,112,Utah Jazz,101.0,A
2013,Chicago Bulls,93,Cleveland Cavaliers,97.0,H
2013,Minnesota Timberwolves,112,Dallas Mavericks,106.0,A
2013,Brooklyn Nets,97,Memphis Grizzlies,88.0,A
2013,Boston Celtics,85,Milwaukee Bucks,92.0,H
2013,Utah Jazz,112,Phoenix Suns,104.0,A
2013,Houston Rockets,112,San Antonio Spurs,106.0,A
2013,Atlanta Hawks,101,Washington Wizards,108.0,H
2013,Philadelphia 76ers,100,Detroit Pistons,115.0,H
2013,Indiana Pacers,105,Los Angeles Clippers,100.0,A
2013,Portland Trail Blazers,114,Los Angeles Lakers,108.0,A
2013,Charlotte Hornets,98,Miami Heat,99.0,H
2013,New Orleans Pelicans,103,New York Knicks,99.0,A
2013,Minnesota Timberwolves,103,Oklahoma City Thunder,113.0,H
2013,Golden State Warriors,115,Sacramento Kings,113.0,A
2013,Denver Nuggets,112,Toronto Raptors,98.0,A
2013,New Orleans Pelicans,131,Chicago Bulls,128.0,A
2013,Indiana Pacers,102,Portland Trail Blazers,106.0,H
2013,Atlanta Hawks,100,San Antonio Spurs,102.0,H
2013,Houston Rockets,103,Utah Jazz,109.0,H
2013,Orlando Magic,80,Washington Wizards,98.0,H
2013,Milwaukee Bucks,100,Boston Celtics,108.0,H
2013,Denver Nuggets,111,Brooklyn Nets,87.0,A
2013,Charlotte Hornets,82,Dallas Mavericks,89.0,H
2013,Toronto Raptors,103,Golden State Warriors,112.0,H
2013,Phoenix Suns,91,Memphis Grizzlies,110.0,H
2013,Detroit Pistons,107,Miami Heat,97.0,A
2013,Orlando Magic,125,Philadelphia 76ers,126.0,H
2013,Oklahoma City Thunder,97,Sacramento Kings,95.0,A
2013,Los Angeles Clippers,97,Atlanta Hawks,107.0,H
2013,Denver Nuggets,88,Cleveland Cavaliers,98.0,H
2013,Phoenix Suns,97,Houston Rockets,88.0,A
2013,Detroit Pistons,105,Milwaukee Bucks,98.0,A
2013,Dallas Mavericks,100,New Orleans Pelicans,97.0,A
2013,Oklahoma City Thunder,104,Portland Trail Blazers,111.0,H
2013,Indiana Pacers,95,Utah Jazz,86.0,A
2013,New York Knicks,113,Brooklyn Nets,83.0,A
2013,Miami Heat,87,Chicago Bulls,107.0,H
2013,Los Angeles Clippers,101,Memphis Grizzlies,81.0,A
2013,Cleveland Cavaliers,89,Atlanta Hawks,108.0,H
2013,Denver Nuggets,98,Boston Celtics,106.0,H
2013,Philadelphia 76ers,88,Charlotte Hornets,105.0,H
2013,Golden State Warriors,83,Houston Rockets,105.0,H
2013,Oklahoma City Thunder,109,New Orleans Pelicans,95.0,A
2013,Orlando Magic,83,New York Knicks,121.0,H
2013,Toronto Raptors,97,Phoenix Suns,106.0,H
2013,Utah Jazz,98,Portland Trail Blazers,130.0,H
2013,Los Angeles Lakers,106,Sacramento Kings,100.0,A
2013,Milwaukee Bucks,109,Washington Wizards,105.0,A
2013,Detroit Pistons,92,Chicago Bulls,75.0,A
2013,Los Angeles Clippers,82,Cleveland Cavaliers,88.0,H
2013,Golden State Warriors,108,Memphis Grizzlies,82.0,A
2013,Brooklyn Nets,90,Milwaukee Bucks,82.0,A
2013,Miami Heat,103,Minnesota Timberwolves,82.0,A
2013,Denver Nuggets,103,Philadelphia 76ers,92.0,A
2013,Dallas Mavericks,108,Portland Trail Blazers,106.0,A
2013,Indiana Pacers,111,San Antonio Spurs,100.0,A
2013,Sacramento Kings,112,Utah Jazz,102.0,A
2013,Miami Heat,110,Detroit Pistons,95.0,A
2013,Orlando Magic,88,Houston Rockets,98.0,H
2013,Toronto Raptors,106,Los Angeles Lakers,94.0,A
2013,Boston Celtics,114,New York Knicks,73.0,A
2013,Indiana Pacers,94,Oklahoma City Thunder,118.0,H
2013,Golden State Warriors,111,Charlotte Hornets,115.0,H
2013,Orlando Magic,85,Memphis Grizzlies,94.0,H
2013,Los Angeles Clippers,94,Philadelphia 76ers,83.0,A
2013,Dallas Mavericks,97,Sacramento Kings,112.0,H
2013,Portland Trail Blazers,105,Utah Jazz,94.0,A
2013,Denver Nuggets,75,Washington Wizards,74.0,A
2013,Oklahoma City Thunder,101,Atlanta Hawks,92.0,A
2013,Boston Celtics,96,Brooklyn Nets,104.0,H
2013,Milwaukee Bucks,78,Chicago Bulls,74.0,A
2013,New York Knicks,94,Cleveland Cavaliers,109.0,H
2013,Minnesota Timberwolves,121,Detroit Pistons,94.0,A
2013,Miami Heat,84,Indiana Pacers,90.0,H
2013,Phoenix Suns,114,Los Angeles Lakers,108.0,A
2013,San Antonio Spurs,116,Toronto Raptors,103.0,A
2013,Los Angeles Clippers,96,Boston Celtics,88.0,A
2013,Orlando Magic,92,Charlotte Hornets,83.0,A
2013,Dallas Mavericks,93,Golden State Warriors,95.0,H
2013,Oklahoma City Thunder,116,Memphis Grizzlies,100.0,A
2013,San Antonio Spurs,109,Milwaukee Bucks,77.0,A
2013,Philadelphia 76ers,99,Minnesota Timberwolves,106.0,H
2013,Detroit Pistons,106,New Orleans Pelicans,111.0,H
2013,Chicago Bulls,78,New York Knicks,83.0,H
2013,Utah Jazz,122,Sacramento Kings,101.0,A
2013,Los Angeles Clippers,93,Brooklyn Nets,102.0,H
2013,Houston Rockets,104,Portland Trail Blazers,111.0,H
2013,Washington Wizards,99,Atlanta Hawks,101.0,H
2013,New York Knicks,86,Boston Celtics,90.0,H
2013,Utah Jazz,103,Denver Nuggets,93.0,A
2013,Brooklyn Nets,99,Detroit Pistons,103.0,H
2013,Houston Rockets,116,Golden State Warriors,112.0,A
2013,Charlotte Hornets,94,Indiana Pacers,99.0,H
2013,Chicago Bulls,91,Milwaukee Bucks,90.0,A
2013,Memphis Grizzlies,98,New Orleans Pelicans,104.0,H
2013,Los Angeles Lakers,97,Oklahoma City Thunder,122.0,H
2013,Cleveland Cavaliers,109,Orlando Magic,100.0,A
2013,Sacramento Kings,107,Phoenix Suns,116.0,H
2013,Minnesota Timberwolves,110,San Antonio Spurs,117.0,H
2013,Philadelphia 76ers,100,Toronto Raptors,108.0,H
2013,Los Angeles Lakers,88,Charlotte Hornets,85.0,A
2013,Toronto Raptors,99,Chicago Bulls,77.0,A
2013,Milwaukee Bucks,93,Dallas Mavericks,106.0,H
2013,Cleveland Cavaliers,107,Miami Heat,114.0,H
2013,Atlanta Hawks,106,New York Knicks,111.0,H
2013,Portland Trail Blazers,139,Philadelphia 76ers,105.0,A
2013,San Antonio Spurs,100,Utah Jazz,84.0,A
2013,Los Angeles Clippers,113,Washington Wizards,97.0,A
2013,New Orleans Pelicans,93,Denver Nuggets,102.0,H
2013,Portland Trail Blazers,111,Detroit Pistons,109.0,A
2013,Minnesota Timberwolves,101,Memphis Grizzlies,93.0,A
2013,Orlando Magic,98,Oklahoma City Thunder,101.0,H
2013,Golden State Warriors,102,Phoenix Suns,106.0,H
2013,Houston Rockets,91,Sacramento Kings,106.0,H
2013,Los Angeles Lakers,100,Atlanta Hawks,114.0,H
2013,Minnesota Timberwolves,97,Boston Celtics,101.0,H
2013,Philadelphia 76ers,94,Brooklyn Nets,130.0,H
2013,Orlando Magic,83,Chicago Bulls,82.0,A
2013,Detroit Pistons,101,Indiana Pacers,96.0,A
2013,San Antonio Spurs,92,Los Angeles Clippers,115.0,H
2013,Utah Jazz,94,Miami Heat,117.0,H
2013,Washington Wizards,102,New York Knicks,101.0,A
2013,Sacramento Kings,87,Charlotte Hornets,95.0,H
2013,Portland Trail Blazers,119,Cleveland Cavaliers,116.0,A
2013,Oklahoma City Thunder,105,Denver Nuggets,93.0,A
2013,New Orleans Pelicans,93,Golden State Warriors,104.0,H
2013,Los Angeles Lakers,96,Memphis Grizzlies,92.0,A
2013,Sacramento Kings,107,Atlanta Hawks,124.0,H
2013,Detroit Pistons,107,Boston Celtics,106.0,A
2013,Washington Wizards,113,Brooklyn Nets,107.0,A
2013,Memphis Grizzlies,91,Dallas Mavericks,105.0,H
2013,Chicago Bulls,94,Houston Rockets,109.0,H
2013,New Orleans Pelicans,95,Los Angeles Clippers,108.0,H
2013,Indiana Pacers,94,Miami Heat,97.0,H
2013,New York Knicks,107,Milwaukee Bucks,101.0,A
2013,Portland Trail Blazers,109,Minnesota Timberwolves,120.0,H
2013,Utah Jazz,86,Orlando Magic,82.0,A
2013,San Antonio Spurs,108,Phoenix Suns,101.0,A
2013,Charlotte Hornets,104,Toronto Raptors,102.0,A
2013,San Antonio Spurs,104,Golden State Warriors,102.0,A
2013,Chicago Bulls,95,Oklahoma City Thunder,107.0,H
2013,Utah Jazz,85,Atlanta Hawks,118.0,H
2013,Milwaukee Bucks,111,Cleveland Cavaliers,114.0,H
2013,Toronto Raptors,109,Dallas Mavericks,108.0,A
2013,Phoenix Suns,103,Denver Nuggets,99.0,A
2013,Charlotte Hornets,116,Detroit Pistons,106.0,A
2013,Houston Rockets,81,Indiana Pacers,114.0,H
2013,Minnesota Timberwolves,91,Los Angeles Lakers,104.0,H
2013,Sacramento Kings,103,Miami Heat,122.0,H
2013,Brooklyn Nets,120,Philadelphia 76ers,121.0,H
2013,Washington Wizards,106,Boston Celtics,99.0,A
2013,Utah Jazz,88,Charlotte Hornets,85.0,A
2013,Cleveland Cavaliers,84,Chicago Bulls,100.0,H
2013,Houston Rockets,114,Detroit Pistons,97.0,A
2013,Los Angeles Lakers,83,Golden State Warriors,102.0,H
2013,Denver Nuggets,91,Los Angeles Clippers,112.0,H
2013,Philadelphia 76ers,106,Milwaukee Bucks,116.0,H
2013,Memphis Grizzlies,95,New York Knicks,87.0,A
2013,Sacramento Kings,105,Orlando Magic,100.0,A
2013,Dallas Mavericks,108,Phoenix Suns,123.0,H
2013,New Orleans Pelicans,107,Portland Trail Blazers,110.0,H
2013,Oklahoma City Thunder,113,San Antonio Spurs,100.0,A
2013,Boston Celtics,79,Indiana Pacers,106.0,H
2013,Minnesota Timberwolves,116,Los Angeles Clippers,120.0,H
2013,Toronto Raptors,104,Oklahoma City Thunder,98.0,A
2013,Indiana Pacers,103,Brooklyn Nets,86.0,A
2013,Milwaukee Bucks,110,Charlotte Hornets,111.0,H
2013,Detroit Pistons,115,Cleveland Cavaliers,92.0,A
2013,Golden State Warriors,89,Denver Nuggets,81.0,A
2013,Dallas Mavericks,111,Houston Rockets,104.0,A
2013,Utah Jazz,94,Memphis Grizzlies,104.0,H
2013,Atlanta Hawks,119,Miami Heat,121.0,H
2013,New York Knicks,103,Orlando Magic,98.0,A
2013,Los Angeles Lakers,90,Phoenix Suns,117.0,H
2013,New Orleans Pelicans,113,Sacramento Kings,100.0,A
2013,Toronto Raptors,99,San Antonio Spurs,112.0,H
2013,Chicago Bulls,95,Brooklyn Nets,78.0,A
2013,Los Angeles Clippers,103,Golden State Warriors,105.0,H
2013,Miami Heat,101,Los Angeles Lakers,95.0,A
2013,Oklahoma City Thunder,123,New York Knicks,94.0,A
2013,Houston Rockets,111,San Antonio Spurs,98.0,A
2013,Atlanta Hawks,127,Cleveland Cavaliers,125.0,A
2013,San Antonio Spurs,116,Dallas Mavericks,107.0,A
2013,Memphis Grizzlies,92,Houston Rockets,100.0,H
2013,Los Angeles Clippers,112,Portland Trail Blazers,116.0,H
2013,Milwaukee Bucks,93,Brooklyn Nets,104.0,H
2013,Oklahoma City Thunder,89,Charlotte Hornets,85.0,A
2013,Phoenix Suns,86,Golden State Warriors,115.0,H
2013,Washington Wizards,98,Minnesota Timberwolves,120.0,H
2013,Denver Nuggets,89,New Orleans Pelicans,105.0,H
2013,Toronto Raptors,95,New York Knicks,83.0,A
2013,Detroit Pistons,92,Orlando Magic,109.0,H
2013,Miami Heat,103,Sacramento Kings,108.0,H
2013,Los Angeles Lakers,103,Utah Jazz,105.0,H
2013,Charlotte Hornets,116,Atlanta Hawks,118.0,H
2013,Cleveland Cavaliers,100,Boston Celtics,103.0,H
2013,Dallas Mavericks,105,Chicago Bulls,83.0,A
2013,New Orleans Pelicans,98,Houston Rockets,107.0,H
2013,Brooklyn Nets,91,Indiana Pacers,105.0,H
2013,Utah Jazz,90,Los Angeles Clippers,98.0,H
2013,Denver Nuggets,99,Memphis Grizzlies,120.0,H
2013,Minnesota Timberwolves,117,Milwaukee Bucks,95.0,A
2013,Philadelphia 76ers,101,Phoenix Suns,115.0,H
2013,Miami Heat,108,Portland Trail Blazers,107.0,A
2013,New York Knicks,100,Toronto Raptors,115.0,H
2013,Detroit Pistons,82,Washington Wizards,106.0,H
2013,Golden State Warriors,108,Cleveland Cavaliers,104.0,A
2013,Philadelphia 76ers,111,Los Angeles Lakers,104.0,A
2013,Houston Rockets,86,Oklahoma City Thunder,117.0,H
2013,Atlanta Hawks,102,Orlando Magic,109.0,H
2013,Sacramento Kings,104,San Antonio Spurs,112.0,H
2013,Miami Heat,97,Denver Nuggets,94.0,A
2013,Washington Wizards,106,Detroit Pistons,99.0,A
